Location,Total_Violations
"-63.4325055,-134.921044",1
"73.078759,120.415192",1
"76.6389875,73.266127",1
"-5.1819925,94.845713",1
"-3.0701125,-29.449248",1
"-21.7451965,-76.433178",1
"-9.7933525,-104.121738",1
"46.993267,145.973949",1
"76.7894815,-100.935901",1
"-15.2270935,18.408535",1
"13.707628,-122.850096",1
"-64.904979,77.693533",1
"-55.482281,-175.649855",1
"-22.414633,-121.412270",1
"17.734179,136.652277",1
"-61.681798,25.769880",1
"-23.8897815,53.108599",1
"76.774666,-24.208046",1
"-24.0378665,-43.016052",1
"-22.840431,-34.354953",1
"-60.854861,-66.073057",1
"-86.971528,-137.960756",1
"61.5953605,-62.064125",1
"9.9511305,92.160068",1
"-86.5668155,-14.451815",1
"54.314961,30.469611",1
"-57.1913395,32.693694",1
"74.5903755,61.463343",1
"39.6744195,65.648906",1
"-70.0236145,79.224206",1
"70.5014035,114.925381",1
